session_test_id,trial_id,rating_stimulus,rating_score,rating_time,Reference Exclude
mss,trial1,C5,100,343653,n
mss,trial1,reference,100,343653,n
mss,trial1,anchor70,100,343653,n
mss,trial1,anchor35,100,343653,n
mss,trial1,C4,58,343653,n
mss,trial1,C3,100,343653,n
mss,trial2,C5,100,233633,n
mss,trial2,anchor70,74,233633,n
mss,trial2,anchor35,34,233633,n
mss,trial2,reference,100,233633,n
mss,trial2,C2,14,233633,n
mss,trial2,C4,46,233633,n
mss,trial2,C1,41,233633,n
mss,trial2,C3,100,233633,n
mss,trial3,C1,34,210154,n
mss,trial3,C5,48,210154,n
mss,trial3,C4,30,210154,n
mss,trial3,anchor35,62,210154,n
mss,trial3,anchor70,100,210154,n
mss,trial3,C3,72,210154,n
mss,trial3,C2,4,210154,n
mss,trial3,reference,100,210154,n
mss,trial4,C2,47,92606,y
mss,trial4,C4,10,92606,y
mss,trial4,reference,47,92606,y
mss,trial4,C3,82,92606,y
mss,trial4,anchor70,43,92606,y
mss,trial4,C1,100,92606,y
mss,trial4,anchor35,26,92606,y
mss,trial5,anchor35,67,84093,n
mss,trial5,C4,79,84093,n
mss,trial5,C1,47,84093,n
mss,trial5,anchor70,100,84093,n
mss,trial5,C2,83,84093,n
mss,trial5,reference,100,84093,n
mss,trial5,C3,24,84093,n
mss,trial1,C4,50,274586,n
mss,trial1,C1,17,274586,n
mss,trial1,C5,26,274586,n
mss,trial1,C2,39,274586,n
mss,trial1,reference,86,274586,n
mss,trial1,C3,69,274586,n
mss,trial1,anchor35,40,274586,n
mss,trial1,anchor70,100,274586,n
mss,trial2,C3,65,88071,y
mss,trial2,anchor70,45,88071,y
mss,trial2,C4,10,88071,y
mss,trial2,reference,57,88071,y
mss,trial2,C5,17,88071,y
mss,trial2,C1,0,88071,y
mss,trial2,C2,16,88071,y
mss,trial2,anchor35,55,88071,n
mss,trial3,reference,93,85291,n
mss,trial3,C3,89,85291,n
mss,trial3,C1,25,85291,n
mss,trial3,anchor70,53,85291,n
mss,trial3,C5,25,85291,n
mss,trial3,C2,15,85291,n
mss,trial3,C4,27,85291,n
mss,trial3,anchor35,41,85291,n
mss,trial4,C4,42,102056,y
mss,trial4,C2,41,102056,y
mss,trial4,reference,75,102056,y
mss,trial4,C3,59,102056,y
mss,trial4,C1,65,102056,y
mss,trial4,anchor70,88,102056,y
mss,trial4,anchor35,53,102056,y
mss,trial5,anchor70,53,61293,n
mss,trial5,anchor35,38,61293,n
mss,trial5,C1,69,61293,n
mss,trial5,reference,90,61293,n
mss,trial5,C3,31,61293,n
mss,trial5,C2,68,61293,n
mss,trial5,C4,26,61293,n
mss,trial1,anchor70,56,167373,n
mss,trial1,C3,100,167373,n
mss,trial1,C2,19,167373,n
mss,trial1,C1,14,167373,n
mss,trial1,C4,13,167373,n
mss,trial1,anchor35,65,167373,n
mss,trial1,C5,68,167373,n
mss,trial1,reference,100,167373,n
mss,trial2,C1,59,100674,n
mss,trial2,reference,100,100674,n
mss,trial2,C3,100,100674,n
mss,trial2,anchor35,66,100674,n
mss,trial2,C4,47,100674,n
mss,trial2,anchor70,98,100674,n
mss,trial2,C2,0,100674,n
mss,trial2,C5,46,100674,n
mss,trial3,reference,100,183691,n
mss,trial3,anchor70,86,183691,n
mss,trial3,C3,100,183691,n
mss,trial3,C2,13,183691,n
mss,trial3,C1,17,183691,n
mss,trial3,anchor35,80,183691,n
mss,trial3,C4,19,183691,n
mss,trial3,C5,100,183691,n
mss,trial4,reference,100,47727,n
mss,trial4,anchor70,98,47727,n
mss,trial4,C1,45,47727,n
mss,trial4,C4,0,47727,n
mss,trial4,C3,0,47727,n
mss,trial4,C2,59,47727,n
mss,trial4,anchor35,21,47727,n
mss,trial5,anchor70,30,50660,n
mss,trial5,C1,100,50660,n
mss,trial5,C4,25,50660,n
mss,trial5,C3,16,50660,n
mss,trial5,C2,67,50660,n
mss,trial5,reference,100,50660,n
mss,trial5,anchor35,69,50660,n
mss,trial1,C3,100,210215,n
mss,trial1,reference,100,210215,n
mss,trial1,C5,50,210215,n
mss,trial1,anchor35,29,210215,n
mss,trial1,anchor70,70,210215,n
mss,trial1,C2,10,210215,n
mss,trial1,C4,8,210215,n
mss,trial1,C1,31,210215,n
mss,trial2,C3,100,162057,n
mss,trial2,C5,38,162057,n
mss,trial2,anchor35,49,162057,n
mss,trial2,anchor70,70,162057,n
mss,trial2,reference,100,162057,n
mss,trial2,C2,11,162057,n
mss,trial2,C1,10,162057,n
mss,trial2,C4,24,162057,n
mss,trial3,C1,40,124654,n
mss,trial3,anchor70,75,124654,n
mss,trial3,C5,55,124654,n
mss,trial3,reference,100,124654,n
mss,trial3,anchor35,65,124654,n
mss,trial3,C3,100,124654,n
mss,trial3,C2,10,124654,n
mss,trial3,C4,27,124654,n
mss,trial4,C3,79,141190,n
mss,trial4,C1,61,141190,n
mss,trial4,reference,89,141190,n
mss,trial4,anchor70,100,141190,n
mss,trial4,C2,59,141190,n
mss,trial4,anchor35,11,141190,n
mss,trial4,C4,31,141190,n
mss,trial5,reference,100,84748,n
mss,trial5,C4,37,84748,n
mss,trial5,C1,75,84748,n
mss,trial5,C3,34,84748,n
mss,trial5,anchor35,24,84748,n
mss,trial5,C2,69,84748,n
mss,trial5,anchor70,45,84748,n
mss,trial1,C5,100,29635,y
mss,trial1,C2,100,29635,y
mss,trial1,reference,100,29635,y
mss,trial1,anchor35,100,29635,y
mss,trial1,anchor70,100,29635,y
mss,trial1,C4,100,29635,y
mss,trial1,C1,100,29635,y
mss,trial1,C3,100,29635,y
mss,trial2,C2,100,3896,y
mss,trial2,C1,100,3896,y
mss,trial2,C4,100,3896,y
mss,trial2,reference,100,3896,y
mss,trial2,anchor35,100,3896,y
mss,trial2,C3,100,3896,y
mss,trial2,anchor70,100,3896,y
mss,trial2,C5,100,3896,y
mss,trial3,anchor70,100,1617,y
mss,trial3,reference,100,1617,y
mss,trial3,C5,100,1617,y
mss,trial3,anchor35,100,1617,y
mss,trial3,C1,100,1617,y
mss,trial3,C2,100,1617,y
mss,trial3,C3,100,1617,y
mss,trial3,C4,100,1617,y
mss,trial4,reference,100,2056,y
mss,trial4,anchor70,100,2056,y
mss,trial4,C1,100,2056,y
mss,trial4,anchor35,100,2056,y
mss,trial4,C2,100,2056,y
mss,trial4,C3,100,2056,y
mss,trial4,C4,100,2056,y
mss,trial5,C2,100,2429,y
mss,trial5,reference,100,2429,y
mss,trial5,anchor35,100,2429,y
mss,trial5,C4,100,2429,y
mss,trial5,C3,100,2429,y
mss,trial5,anchor70,100,2429,y
mss,trial5,C1,100,2429,y
mss,trial1,C3,100,165787,y
mss,trial1,anchor70,100,165787,y
mss,trial1,C4,24,165787,n
mss,trial1,C1,40,165787,n
mss,trial1,anchor35,82,165787,n
mss,trial1,reference,100,165787,n
mss,trial1,C5,78,165787,n
mss,trial1,C2,16,165787,n
mss,trial2,C3,100,78340,y
mss,trial2,C2,0,78340,y
mss,trial2,C5,100,78340,y
mss,trial2,anchor35,34,78340,y
mss,trial2,C4,0,78340,y
mss,trial2,anchor70,29,78340,y
mss,trial2,C1,1,78340,y
mss,trial2,reference,45,78340,y
mss,trial3,C3,100,52249,n
mss,trial3,C4,31,52249,n
mss,trial3,C2,0,52249,n
mss,trial3,C1,28,52249,n
mss,trial3,reference,82,52249,n
mss,trial3,C5,84,52249,n
mss,trial3,anchor70,80,52249,n
mss,trial3,anchor35,85,52249,n
mss,trial4,anchor35,100,29505,y
mss,trial4,anchor70,100,29505,y
mss,trial4,C4,35,29505,y
mss,trial4,C1,61,29505,y
mss,trial4,C3,14,29505,y
mss,trial4,C2,100,29505,y
mss,trial4,reference,27,29505,y
mss,trial5,C2,100,32825,y
mss,trial5,C1,100,32825,y
mss,trial5,anchor35,100,32825,y
mss,trial5,C4,47,32825,y
mss,trial5,C3,100,32825,y
mss,trial5,reference,100,32825,y
mss,trial5,anchor70,100,32825,y
mss,trial1,C5,37,392169,y
mss,trial1,C3,45,392169,y
mss,trial1,anchor35,24,392169,y
mss,trial1,reference,52,392169,y
mss,trial1,C2,10,392169,y
mss,trial1,C4,11,392169,y
mss,trial1,anchor70,73,392169,y
mss,trial1,C1,3,392169,n
mss,trial2,anchor70,51,204465,y
mss,trial2,reference,70,204465,y
mss,trial2,C1,11,204465,y
mss,trial2,C5,30,204465,y
mss,trial2,C4,7,204465,y
mss,trial2,anchor35,23,204465,y
mss,trial2,C2,0,204465,y
mss,trial2,C3,70,204465,y
mss,trial3,C4,12,301936,y
mss,trial3,C5,19,301936,y
mss,trial3,C1,9,301936,y
mss,trial3,reference,70,301936,y
mss,trial3,anchor70,37,301936,y
mss,trial3,C2,0,301936,y
mss,trial3,C3,70,301936,y
mss,trial3,anchor35,29,301936,y
mss,trial4,anchor35,80,358092,y
mss,trial4,C4,33,358092,y
mss,trial4,reference,69,358092,y
mss,trial4,C3,56,358092,y
mss,trial4,anchor70,69,358092,y
mss,trial4,C1,39,358092,y
mss,trial4,C2,41,358092,y
mss,trial5,C1,65,177623,y
mss,trial5,C3,33,177623,y
mss,trial5,anchor35,44,177623,y
mss,trial5,reference,74,177623,y
mss,trial5,anchor70,61,177623,y
mss,trial5,C4,9,177623,y
mss,trial5,C2,75,177623,y
mss,trial1,reference,100,169609,n
mss,trial1,anchor70,100,169609,n
mss,trial1,C3,100,169609,n
mss,trial1,C5,72,169609,n
mss,trial1,C4,29,169609,n
mss,trial1,C1,25,169609,n
mss,trial1,C2,33,169609,n
mss,trial1,anchor35,54,169609,n
mss,trial2,C1,69,64012303,n
mss,trial2,C5,71,64012303,n
mss,trial2,C3,100,64012303,n
mss,trial2,anchor35,37,64012303,n
mss,trial2,anchor70,100,64012303,n
mss,trial2,C2,11,64012303,n
mss,trial2,C4,60,64012303,n
mss,trial2,reference,100,64012303,n
mss,trial3,C2,7,116315,n
mss,trial3,reference,100,116315,n
mss,trial3,anchor70,100,116315,n
mss,trial3,C3,100,116315,n
mss,trial3,C1,41,116315,n
mss,trial3,C4,40,116315,n
mss,trial3,anchor35,67,116315,n
mss,trial3,C5,50,116315,n
mss,trial4,anchor70,100,119068,n
mss,trial4,C2,74,119068,n
mss,trial4,C1,100,119068,n
mss,trial4,C3,62,119068,n
mss,trial4,C4,52,119068,n
mss,trial4,anchor35,87,119068,n
mss,trial4,reference,100,119068,n
mss,trial5,C3,61,135718,n
mss,trial5,anchor70,87,135718,n
mss,trial5,anchor35,70,135718,n
mss,trial5,C4,35,135718,n
mss,trial5,C2,100,135718,n
mss,trial5,C1,100,135718,n
mss,trial5,reference,100,135718,n
mss,trial1,C5,29,258106,y
mss,trial1,C3,16,258106,y
mss,trial1,reference,63,258106,y
mss,trial1,C4,59,258106,y
mss,trial1,anchor35,29,258106,y
mss,trial1,C1,19,258106,y
mss,trial1,C2,62,258106,y
mss,trial1,anchor70,37,258106,y
mss,trial2,anchor35,12,121013,n
mss,trial2,C2,2,121013,n
mss,trial2,C5,34,121013,n
mss,trial2,C3,36,121013,n
mss,trial2,anchor70,34,121013,n
mss,trial2,C1,9,121013,n
mss,trial2,C4,4,121013,n
mss,trial2,reference,100,121013,n
mss,trial3,C4,15,99267,n
mss,trial3,reference,100,99267,n
mss,trial3,anchor70,29,99267,n
mss,trial3,C2,3,99267,n
mss,trial3,C1,14,99267,n
mss,trial3,anchor35,34,99267,n
mss,trial3,C5,31,99267,n
mss,trial3,C3,87,99267,n
mss,trial4,anchor35,21,75549,n
mss,trial4,reference,100,75549,n
mss,trial4,C4,19,75549,n
mss,trial4,C1,15,75549,n
mss,trial4,C3,9,75549,n
mss,trial4,C2,27,75549,n
mss,trial4,anchor70,48,75549,n
mss,trial5,C2,11,80544,n
mss,trial5,C1,8,80544,n
mss,trial5,anchor70,14,80544,n
mss,trial5,C4,25,80544,n
mss,trial5,anchor35,15,80544,n
mss,trial5,C3,27,80544,n
mss,trial5,reference,95,80544,n
mss,trial1,C1,59,239237,y
mss,trial1,C3,89,239237,y
mss,trial1,C2,48,239237,y
